group,source,n_articles,player_share,club_share,relational_rate,star_rate,meta_rate
Men,Daily Mail,44,0.30700527943124656,0.13186504490630058,0.054590548340548335,0.0032467532467532465,0.026515151515151516
Men,Fabrizio Romano,37,0.2735079951509071,0.20235475297552824,0.07769197769197769,0.020997920997921,0.015315315315315315
Men,Goal.com,5609,0.22965037599951527,0.13630476191716484,0.06131237004528531,0.037192591042480565,0.023559159241987458
Men,The Athletic,37,0.29502883447124495,0.15851486915188218,0.0767052767052767,0.0,0.033345033345033345
Men,Tribuna,49,0.37128565114133405,0.1421957068573059,0.06738133372950718,0.026737548166119594,0.015184645286686104
Men,Tribuna.com,162,0.38472315595699574,0.12076621497694029,0.04398587992644897,0.020241472455645892,0.015911005902835968
Men,Unknown,58,0.28838709205551555,0.06932591754214293,0.02626496261968424,0.02824767499075739,0.03349045590424901
Men,all-football-app,599,0.2635750367026514,0.15987838908144394,0.04586612941316316,0.027175117581818384,0.01473874264281391
Men,skysports,114,0.26330134402633926,0.0951306673074934,0.05174068462222609,0.01410106498866593,0.022670573115515524
Men,the-analyst,666,0.17540478823320316,0.11114545178278176,0.04731195294604598,0.018365227122662732,0.07432950059824395
Women's,90min.com,118,0.20825661784665048,0.16251716706725666,0.06836913773922915,0.023719225573734137,0.044510453670947
Women's,Goal.com,279,0.17188300384553257,0.0963740427742198,0.0762528744476457,0.05967084688771338,0.059565885728945764
Women's,arsenal.com,41,0.19994086938696065,0.09811898483328142,0.08975948348446362,0.022901385107564544,0.022740662189230588
Women's,bbc.co.uk,97,0.20287969202403444,0.1117371208994872,0.10159101429679285,0.044476955014800916,0.05945116677716598
Women's,bbc.com,38,0.20234445767944007,0.09977374350272884,0.10612731201773712,0.028203155670205083,0.0719246057274075
Women's,justarsenal.com,99,0.213054501990074,0.12811524962166565,0.06539048239187956,0.028064884243045162,0.03254043227727438
Women's,metro.co.uk,35,0.22941714346300443,0.15399282384381152,0.08191205606451706,0.040355523733232715,0.02526659340612382
Women's,newcastleherald.com.au,38,0.21259148915616594,0.0379745965777105,0.08681943010915859,0.04332616085858899,0.02287144987976013
Women's,the-analyst,35,0.19813028677446767,0.0658424430475307,0.07284484058648806,0.06617881436908446,0.07948195176432878
Women's,theathletic.com,46,0.21144511145236872,0.09535796632794055,0.08314313769533352,0.015103948468321676,0.03438144895358643
Women's,uefa.com,30,0.14934824656309342,0.06556511913296632,0.06063668178322461,0.02641887432994511,0.03542094615624027
