gender,entity_label,entity_text,frequency
Men,PLAYER,chelsea,2354
Men,PLAYER,tottenham,1790
Men,PLAYER,guardiola,1622
Men,PLAYER,messi,1557
Men,PLAYER,arteta,1527
Men,PLAYER,klopp,1408
Men,PLAYER,aston villa,1130
Men,PLAYER,blues,1119
Men,PLAYER,man utd,984
Men,PLAYER,erik,969
Men,PLAYER,ronaldo,962
Men,PLAYER,mikel arteta,906
Men,PLAYER,isak,905
Men,PLAYER,salah,865
Men,PLAYER,eddie howe,824
Men,PLAYER,tottenham hotspur,791
Men,PLAYER,pep guardiola,724
Men,PLAYER,villa,681
Men,PLAYER,jurgen klopp,674
Men,PLAYER,howe,599
Men,CLUB,chelsea,8657
Men,CLUB,united,6669
Men,CLUB,real madrid,5037
Men,CLUB,arsenal,4055
Men,CLUB,psg,3758
Men,CLUB,liverpool,3509
Men,CLUB,everton,2339
Men,CLUB,uefa,1918
Men,CLUB,bayern munich,1881
Men,CLUB,anfield,1846
Men,CLUB,tottenham,1757
Men,CLUB,fifa,1750
Men,CLUB,reds,1646
Men,CLUB,juventus,1633
Men,CLUB,bayern,1545
Men,CLUB,brentford,1154
Men,CLUB,amorim,1077
Men,CLUB,old trafford,1027
Men,CLUB,fulham,1020
Men,CLUB,ajax,967
Men,COMPETITION,champions league,9429
Men,COMPETITION,the champions league,6355
Men,COMPETITION,premier league,6032
Men,COMPETITION,the premier league,4934
Men,COMPETITION,world cup,2412
Men,COMPETITION,la liga,1814
Men,COMPETITION,the world cup,1526
Men,COMPETITION,bundesliga,1372
Men,COMPETITION,the fa cup,1158
Men,COMPETITION,europa league,1087
Men,COMPETITION,the europa league,1063
Men,COMPETITION,fa cup,856
Men,COMPETITION,uefa champions league,642
Men,COMPETITION,the uefa champions league,636
Men,COMPETITION,serie a,636
Men,COMPETITION,wsl,601
Men,COMPETITION,the club world cup,546
Men,COMPETITION,the carabao cup,513
Men,COMPETITION,ligue 1,500
Men,COMPETITION,carabao cup,356
Men,LOCATION,liverpool,8872
Men,LOCATION,england,6471
Men,LOCATION,newcastle,5835
Men,LOCATION,barcelona,5669
Men,LOCATION,manchester united,4802
Men,LOCATION,manchester city,4452
Men,LOCATION,europe,3780
Men,LOCATION,spain,3385
Men,LOCATION,madrid,3325
Men,LOCATION,newcastle united,2274
Men,LOCATION,germany,2222
Men,LOCATION,france,2055
Men,LOCATION,brighton,1847
Men,LOCATION,london,1695
Men,LOCATION,italy,1661
Men,LOCATION,arsenal,1527
Men,LOCATION,man city,1466
Men,LOCATION,uk,1452
Men,LOCATION,dortmund,1403
Men,LOCATION,brazil,1390
Men,NATIONALITY,european,4804
Men,NATIONALITY,spanish,1937
Men,NATIONALITY,english,1557
Men,NATIONALITY,german,1498
Men,NATIONALITY,french,1486
Men,NATIONALITY,italian,1373
Men,NATIONALITY,brazilian,1215
Men,NATIONALITY,dutch,835
Men,NATIONALITY,portuguese,778
Men,NATIONALITY,african,540
Men,NATIONALITY,saudi,521
Men,NATIONALITY,british,517
Men,NATIONALITY,american,502
Men,NATIONALITY,nigerian,490
Men,NATIONALITY,spaniard,445
Men,NATIONALITY,argentine,386
Men,NATIONALITY,belgian,377
Men,NATIONALITY,frenchman,354
Men,NATIONALITY,barca,347
Men,NATIONALITY,irish,338
Women,PLAYER,chelsea,1101
Women,PLAYER,donald trump,715
Women,PLAYER,blues,708
Women,PLAYER,matildas,650
Women,PLAYER,hayes,643
Women,PLAYER,biden,636
Women,PLAYER,rubiales,537
Women,PLAYER,trump,522
Women,PLAYER,johnson,505
Women,PLAYER,kelly,494
Women,PLAYER,harris,462
Women,PLAYER,emma hayes,445
Women,PLAYER,sarina wiegman,444
Women,PLAYER,taylor,436
Women,PLAYER,russo,401
Women,PLAYER,smith,375
Women,PLAYER,messi,373
Women,PLAYER,sam kerr,371
Women,PLAYER,leah williamson,358
Women,PLAYER,james,352
Women,CLUB,chelsea,3569
Women,CLUB,fifa,2933
Women,CLUB,nfl,2329
Women,CLUB,trump,2122
Women,CLUB,ncaa,1802
Women,CLUB,bbc,1754
Women,CLUB,arsenal,1507
Women,CLUB,united,1446
Women,CLUB,netflix,960
Women,CLUB,everton,901
Women,CLUB,instagram,810
Women,CLUB,espn,785
Women,CLUB,uefa,772
Women,CLUB,wiegman,690
Women,CLUB,twitter,649
Women,CLUB,nba,647
Women,CLUB,real madrid,624
Women,CLUB,acl,590
Women,CLUB,sec,588
Women,CLUB,uswnt,573
Women,COMPETITION,world cup,3179
Women,COMPETITION,wsl,2477
Women,COMPETITION,the world cup,1910
Women,COMPETITION,champions league,1235
Women,COMPETITION,nwsl,971
Women,COMPETITION,olympics,965
Women,COMPETITION,premier league,952
Women,COMPETITION,the champions league,744
Women,COMPETITION,the premier league,696
Women,COMPETITION,olympic,660
Women,COMPETITION,euros,447
Women,COMPETITION,super bowl,424
Women,COMPETITION,the fa cup,380
Women,COMPETITION,fa cup,327
Women,COMPETITION,the super bowl,308
Women,COMPETITION,women’s world cup,305
Women,COMPETITION,the women’s world cup,286
Women,COMPETITION,la liga,227
Women,COMPETITION,the women's world cup,213
Women,COMPETITION,women's world cup,207
Women,LOCATION,england,7481
Women,LOCATION,spain,3233
Women,LOCATION,australia,2884
Women,LOCATION,uk,2666
Women,LOCATION,us,2436
Women,LOCATION,u.s.,2283
Women,LOCATION,barcelona,2005
Women,LOCATION,france,1919
Women,LOCATION,london,1545
Women,LOCATION,manchester city,1530
Women,LOCATION,europe,1473
Women,LOCATION,manchester united,1466
Women,LOCATION,ireland,1455
Women,LOCATION,texas,1447
Women,LOCATION,germany,1433
Women,LOCATION,israel,1432
Women,LOCATION,the united states,1368
Women,LOCATION,canada,1312
Women,LOCATION,liverpool,1311
Women,LOCATION,brazil,1294
Women,NATIONALITY,european,1811
Women,NATIONALITY,american,1666
Women,NATIONALITY,spanish,1114
Women,NATIONALITY,british,1067
Women,NATIONALITY,irish,1020
Women,NATIONALITY,french,851
Women,NATIONALITY,israeli,837
Women,NATIONALITY,english,820
Women,NATIONALITY,australian,810
Women,NATIONALITY,african,581
Women,NATIONALITY,russian,551
Women,NATIONALITY,americans,517
Women,NATIONALITY,german,511
Women,NATIONALITY,chinese,486
Women,NATIONALITY,italian,465
Women,NATIONALITY,republican,463
Women,NATIONALITY,nigerian,451
Women,NATIONALITY,dutch,419
Women,NATIONALITY,palestinian,407
Women,NATIONALITY,indian,390
